Key,Feature Type
0,Combiner Post
1,Combiner Box
2,Fence
3,Roads
4,TR Piles Incomplete
5,TR Piles Staged
6,TR Piles in progress
7,TR Piles complete
8,Trackers Complete
9,Modules In Progress
10,Modules Complete
