Key,Feature Type
0,Marking Incomplete
1,Marking Complete
2,Auguring Complete
3,Casting Complete
4,Capping Complete
5,Rafters Complete
6,Modules Complete
7,MMS Complete
8,Vertical Post incompleted
9,Vertical Post completed
10,Rafter
11,Pallet
12,Pole
T,train_boundary
C,clip_boundary
