Key,Feature Type
0,Posts
1,Rafters
2,MV Duct Bank
3,Vertical Posts Incomplete
4,Vertical Posts Completed
5,Torque Tube Installed
6,Rafters Installed
7,CS/Gear Installed
8,Module Completed
