Key,Feature Type
0,Piles
1,Thermal Breaks
2,Modules
3,Connecting structure
4,Tubs with concrete Poured in them
5,Racking purlins installed
6,Gravel Tub pads
7,Tables with concrete tub pads
8,Tubs with A Frames installed
9,Modules staged in field
10,Modules installed
11,Road
12,Fence
