Key,Feature Type
0,Not started
1,Inverter Complete
2,Materials Installed
3,Subgrade
4,Combiner box Complete
5,Not Started
6,Combiner Post Complete
7,Fence Complete
8,TR Piles Incomplete
9,TR Piles Staged
10,TR Piles in progress
11,TR Piles complete
12,Trackers Complete
13,Modules In Progress
14,Modules Complete
