Key,Feature Type
0,TR Piles Incomplete
1,TR Piles Staged
2,TR Piles in progress
3,TR Piles Complete
4,Trackers Installed
5,Module In Progress
6,Modules complete
7,Not started
8,MV Trench Complete
9,Inverter Piles Complete
10,Inverter Set Complete
11,Complete
12,Combiner Post Complete
13,Combiner Box Complete
14,Materials Installed
15,Subgrade
16,LV Trench Complete
